CEFR Level,Grade Band,Day Number,Day / Topic,Vocabulary Word,Definition
A2,8th-12th,7,The Scientific Method,observation,"Something you notice carefully by watching, listening, or measuring."
A2,8th-12th,7,The Scientific Method,conclusion,The decision or result you come to after finishing an experiment.
A2,8th-12th,7,The Scientific Method,procedure,The step-by-step plan you follow to carry out an experiment.
A2,8th-12th,7,The Scientific Method,variable,Something in an experiment that you change or measure to test your idea.
A2,8th-12th,7,The Scientific Method,result,What happens after you do an experiment or test.
A2,8th-12th,7,The Scientific Method,data,Facts and numbers you collect during an experiment.
A2,8th-12th,7,The Scientific Method,record,To write down or save information so you do not forget it.
A2,8th-12th,8,Weather & Natural Disasters,forecast,A prediction of what the weather will be like in the future.
A2,8th-12th,8,Weather & Natural Disasters,temperature,"How hot or cold something is, usually measured in degrees."
A2,8th-12th,8,Weather & Natural Disasters,hurricane,A very powerful storm with strong winds and heavy rain.
A2,8th-12th,8,Weather & Natural Disasters,drought,A long period of time with very little or no rain.
A2,8th-12th,8,Weather & Natural Disasters,flood,When a large amount of water covers land that is usually dry.
A2,8th-12th,8,Weather & Natural Disasters,climate,The usual type of weather a place has over a long period of time.
A2,8th-12th,8,Weather & Natural Disasters,disaster,"A sudden, terrible event that causes a lot of damage or harm."
A2,8th-12th,8,Weather & Natural Disasters,evacuate,To leave a dangerous place quickly to be safe.
A2,8th-12th,8,Weather & Natural Disasters,severe,"Very serious or extreme, used to describe bad weather or danger."
A2,8th-12th,9,Animal Habitat Day,habitat,The natural place where an animal or plant normally lives.
A2,8th-12th,9,Animal Habitat Day,ecosystem,All the living things in a place and the environment they share together.
A2,8th-12th,9,Animal Habitat Day,species,A group of animals or plants that are the same type and can have babies together.
A2,8th-12th,9,Animal Habitat Day,adaptation,A special feature or behavior that helps an animal survive in its environment.
A2,8th-12th,9,Animal Habitat Day,predator,An animal that hunts and eats other animals for food.
A2,8th-12th,9,Animal Habitat Day,endangered,Describes a species that might disappear forever because very few of them are left.
A2,8th-12th,9,Animal Habitat Day,migrate,"To move from one place to another place, usually with the seasons."
A2,8th-12th,9,Animal Habitat Day,wildlife,Wild animals and plants that live in nature without human control.
A2,8th-12th,9,Animal Habitat Day,survive,"To stay alive, especially in a difficult or dangerous situation."
A2,8th-12th,10,Water Day,conservation,The careful use of natural resources so they are not wasted or destroyed.
A2,8th-12th,10,Water Day,pollution,"Harmful substances that enter the water, air, or land and damage the environment."
A2,8th-12th,10,Water Day,aquatic,Living or happening in or near water.
A2,8th-12th,10,Water Day,freshwater,"Water that has no salt in it, found in rivers, lakes, and rain."
A2,8th-12th,10,Water Day,reservoir,A large natural or man-made lake used to store water for people to use.
A2,8th-12th,10,Water Day,evaporation,When liquid water turns into water vapor because of heat.
A2,8th-12th,10,Water Day,scarce,Not enough of something; hard to find or get.
A2,8th-12th,10,Water Day,recycle,To use something again or turn it into something new so it is not wasted.
A2,8th-12th,10,Water Day,purify,To remove harmful or dirty substances from water to make it safe to drink.
A2,8th-12th,11,Entertainment,celebrity,"A very famous person, especially in music, movies, or sport."
A2,8th-12th,11,Entertainment,performance,"An act of singing, acting, dancing, or playing music in front of an audience."
A2,8th-12th,11,Entertainment,audience,A group of people who watch or listen to a show or event.
A2,8th-12th,11,Entertainment,genre,"A type or category of music, movies, or books that share a similar style."
A2,8th-12th,11,Entertainment,streaming,Watching or listening to video or music online without downloading it.
A2,8th-12th,11,Entertainment,soundtrack,The music that plays during a movie or TV show.
A2,8th-12th,11,Entertainment,release,"To make a movie, song, or product available for people to buy or watch."
A2,8th-12th,11,Entertainment,review,"An opinion about a movie, book, or show written to help others decide if it is good."
A2,8th-12th,11,Entertainment,entertain,"To keep people happy and interested with activities, shows, or stories."
A2,8th-12th,12,Travel,destination,The place you are traveling to or planning to visit.
A2,8th-12th,12,Travel,accommodation,"A place where you stay and sleep when you are traveling, like a hotel."
A2,8th-12th,12,Travel,transportation,The vehicles or systems used to move people from one place to another.
A2,8th-12th,12,Travel,currency,The type of money used in a particular country.
A2,8th-12th,12,Travel,itinerary,A list or plan of all the places you will visit and things you will do on a trip.
A2,8th-12th,12,Travel,passport,An official document that proves who you are and allows you to travel to other countries.
A2,8th-12th,12,Travel,landmark,A famous or important place or building that is easy to recognize.
A2,8th-12th,12,Travel,luggage,The bags and suitcases you take with you when you travel.
A2,8th-12th,12,Travel,local,"Relating to the place you are visiting, or a person who lives there."
A2,8th-12th,13,Art Day,gallery,A room or building where works of art are shown to the public.
A2,8th-12th,13,Art Day,sculpture,"A piece of art made by shaping materials like clay, stone, or metal."
A2,8th-12th,13,Art Day,abstract,A style of art that uses shapes and colors rather than realistic pictures.
A2,8th-12th,13,Art Day,texture,"The way a surface feels or looks, such as rough, smooth, or bumpy."
A2,8th-12th,13,Art Day,portrait,"A painting or drawing of a person, usually showing their face."
A2,8th-12th,13,Art Day,perspective,The way an artist shows distance and depth to make a picture look three-dimensional.
A2,8th-12th,13,Art Day,inspire,To give someone a feeling or idea that makes them want to create something.
A2,8th-12th,13,Art Day,medium,"The material or tool an artist uses to make their artwork, like paint or pencil."
A2,8th-12th,13,Art Day,exhibit,To show your artwork to other people in a public place.
A2,8th-12th,14,Field Day,relay,A race where each team member runs part of the course and passes something to the next person.
A2,8th-12th,14,Field Day,strategy,A plan you make before a game or competition to help your team win.
A2,8th-12th,14,Field Day,agility,"The ability to move quickly and easily, changing direction without falling."
A2,8th-12th,14,Field Day,endurance,The ability to keep doing something physically hard for a long time without stopping.
A2,8th-12th,14,Field Day,sportsmanship,"Behaving fairly, kindly, and respectfully during a game, whether you win or lose."
A2,8th-12th,14,Field Day,referee,The person who watches a game and makes sure everyone follows the rules.
A2,8th-12th,14,Field Day,score,The number of points each team has during or at the end of a game.
A2,8th-12th,14,Field Day,eliminate,To be removed from a competition because you lost.
A2,8th-12th,14,Field Day,encourage,To tell someone they are doing well and to keep trying.
A2,8th-12th,15,End of Summer / Reflection,achievement,Something important and difficult that you have successfully done.
A2,8th-12th,15,End of Summer / Reflection,memory,"Something that you remember from the past, especially a happy event."
A2,8th-12th,15,End of Summer / Reflection,gratitude,The feeling of being thankful for the good things you have received.
A2,8th-12th,15,End of Summer / Reflection,growth,The way you have improved or become better over time.
A2,8th-12th,15,End of Summer / Reflection,goal,Something you decide you want to do or achieve in the future.
A2,8th-12th,15,End of Summer / Reflection,reflect,To think carefully about something that has happened and what it means to you.
A2,8th-12th,15,End of Summer / Reflection,proud,Feeling happy and satisfied about something good you or someone else has done.
A2,8th-12th,15,End of Summer / Reflection,inspire,To make someone feel excited and motivated to do or try something.
A2,8th-12th,15,End of Summer / Reflection,farewell,Something you say or do when you are saying goodbye to someone.
