CEFR Level,Grade Band,Day Number,Day / Topic,Question,Answer
A2,8th-12th,7,The Scientific Method,"Before starting the experiment, we wrote our {blank}: we thought plants grow faster with more light.",hypothesis
A2,8th-12th,7,The Scientific Method,The {blank} showed us that the temperature of water does affect how fast sugar dissolves.,experiment
A2,8th-12th,7,The Scientific Method,We used a chart to {blank} all the information we collected each day.,record
A2,8th-12th,7,The Scientific Method,"After reading our results, our {blank} was that sunlight is the most important variable for plant growth.",conclusion
A2,8th-12th,7,The Scientific Method,The teacher asked everyone to follow the same {blank} so the results would be fair.,procedure
A2,8th-12th,8,Weather & Natural Disasters,The weather {blank} said there would be heavy rain and strong winds tomorrow.,forecast
A2,8th-12th,8,Weather & Natural Disasters,People had to {blank} their homes quickly before the storm arrived.,evacuate
A2,8th-12th,8,Weather & Natural Disasters,"After months without rain, the farmers were suffering from a serious {blank}.",drought
A2,8th-12th,8,Weather & Natural Disasters,The river rose so fast that a {blank} covered all the roads in the town.,flood
A2,8th-12th,8,Weather & Natural Disasters,Scientists say that {blank} change is making storms more common around the world.,climate
A2,8th-12th,9,Animal Habitat Day,The rainforest is the natural {blank} of hundreds of bird and insect species.,habitat
A2,8th-12th,9,Animal Habitat Day,Thick fur is an important {blank} that helps polar bears live in freezing temperatures.,adaptation
A2,8th-12th,9,Animal Habitat Day,"Every year, thousands of birds {blank} south to escape the cold climate.",migrate
A2,8th-12th,9,Animal Habitat Day,The tiger is an {blank} animal because humans have destroyed so much of its habitat.,endangered
A2,8th-12th,9,Animal Habitat Day,The lion is the top {blank} in the African grassland ecosystem.,predator
A2,8th-12th,10,Water Day,"In many countries, clean {blank} is very limited, so people must save every drop.",freshwater
A2,8th-12th,10,Water Day,Factory waste and plastic cause serious water {blank} in rivers and oceans.,pollution
A2,8th-12th,10,Water Day,The city built a large {blank} in the mountains to store water for the summer drought.,reservoir
A2,8th-12th,10,Water Day,We can help with water {blank} by turning off the tap when we brush our teeth.,conservation
A2,8th-12th,10,Water Day,Special machines {blank} dirty water so that animals and people can use it safely.,purify
A2,8th-12th,11,Entertainment,The famous {blank} arrived on stage and the whole crowd started cheering.,celebrity
A2,8th-12th,11,Entertainment,The new movie's {blank} was loved by critics and fans around the world.,soundtrack
A2,8th-12th,11,Entertainment,She gave a beautiful {blank} that showed off all her creative singing skills.,performance
A2,8th-12th,11,Entertainment,"My favorite {blank} of music is pop, but I also enjoy hip-hop.",genre
A2,8th-12th,11,Entertainment,The studio will {blank} the new film next summer so everyone can enjoy it.,release
A2,8th-12th,12,Travel,Our travel {blank} included three days in Paris and two days in Rome.,itinerary
A2,8th-12th,12,Travel,We exchanged our money for the local {blank} before leaving the airport.,currency
A2,8th-12th,12,Travel,The hotel was our {blank} for the week — it had a great view of the ocean.,accommodation
A2,8th-12th,12,Travel,She packed all her {blank} the night before so she would not forget anything.,luggage
A2,8th-12th,12,Travel,The Eiffel Tower is the most famous {blank} in Paris and tourists love to visit it.,landmark
A2,8th-12th,13,Art Day,We visited an art {blank} downtown and saw beautiful paintings from local artists.,gallery
A2,8th-12th,13,Art Day,"The artist used watercolor as her {blank} to create a soft, dreamy landscape.",medium
A2,8th-12th,13,Art Day,His {blank} painting did not look like a real person — it used only shapes and colors.,abstract
A2,8th-12th,13,Art Day,The students were able to {blank} their drawings at the end-of-camp art show.,exhibit
A2,8th-12th,13,Art Day,The bright colors of the festival we visited on Day 3 helped to {blank} her new artwork.,inspire
A2,8th-12th,14,Field Day,Our team won the {blank} race because everyone ran as fast as they could.,relay
A2,8th-12th,14,Field Day,Good {blank} means you congratulate the other team even when you lose.,sportsmanship
A2,8th-12th,14,Field Day,"The coach told us the {blank} for the tug-of-war: pull slowly at first, then all together.",strategy
A2,8th-12th,14,Field Day,The {blank} blew the whistle when a player broke one of the rules.,referee
A2,8th-12th,14,Field Day,Teammates always {blank} each other so everyone gives their best effort on Field Day.,encourage
A2,8th-12th,15,End of Summer / Reflection,"At the end of camp, we took time to {blank} on all the new skills we had learned.",reflect
A2,8th-12th,15,End of Summer / Reflection,Winning the team competition on Field Day was my greatest {blank} this summer.,achievement
A2,8th-12th,15,End of Summer / Reflection,I feel deep {blank} for all the friends and teachers who helped me grow this summer.,gratitude
A2,8th-12th,15,End of Summer / Reflection,My {blank} for next year is to practice my English every day so I keep improving.,goal
A2,8th-12th,15,End of Summer / Reflection,We said a warm {blank} to our friends at the end of the summer party.,farewell
