CEFR Level,Grade Band,Day Number,Day / Topic,Question,Answer
A1,4th-7th,12,Travel Day,You need a {blank} to fly to another country.,passport
A1,4th-7th,12,Travel Day,We pack our clothes in our {blank}.,luggage
A1,4th-7th,12,Travel Day,Our plane leaves from the {blank}.,airport
A1,4th-7th,12,Travel Day,A {blank} visits famous places on vacation.,tourist
A1,4th-7th,12,Travel Day,We sleep at a {blank} when we travel.,hotel
A1,4th-7th,13,Game Day,We roll the {blank} to move in the board game.,dice
A1,4th-7th,13,Game Day,It is your {blank} to move next.,turn
A1,4th-7th,13,Game Day,Read the {blank} before we start playing.,rules
A1,4th-7th,13,Game Day,The {blank} has the most points at the end.,winner
A1,4th-7th,13,Game Day,Let's {blank} a fun game together.,play
A1,4th-7th,14,Weather Day,It is {blank} today. The sun is out.,sunny
A1,4th-7th,14,Weather Day,It is {blank} outside. I need my umbrella.,rainy
A1,4th-7th,14,Weather Day,The sky is {blank}. I cannot see the sun.,cloudy
A1,4th-7th,14,Weather Day,It is very {blank} today. The trees are moving.,windy
A1,4th-7th,14,Weather Day,It is {blank} today. I need a warm coat.,cold
A1,4th-7th,15,Final Day / Celebration,We {blank} on the last day of summer camp.,celebrate
A1,4th-7th,15,Final Day / Celebration,I feel {blank} of all the English I learned.,proud
A1,4th-7th,15,Final Day / Celebration,I will always remember this happy {blank}.,memory
A1,4th-7th,15,Final Day / Celebration,We {blank} a song together at the party.,sing
A1,4th-7th,15,Final Day / Celebration,We say {blank} to our teachers and friends.,goodbye
