CEFR Level,Grade Band,Day Number,Day / Topic,Vocabulary Word,Definition
B1,8th-12th,10,Experiments Day,conclusion,The result or decision you reach after an experiment.
B1,8th-12th,10,Experiments Day,procedure,The step-by-step plan you follow in an experiment.
B1,8th-12th,10,Experiments Day,result,What you find out after doing a test or experiment.
B1,8th-12th,10,Experiments Day,evidence,Facts or information that show whether something is true.
B1,8th-12th,10,Experiments Day,analyze,To study something carefully to understand it better.
B1,8th-12th,11,Relaxation / Stress Relief,relax,To rest and become calm after being busy or stressed.
B1,8th-12th,11,Relaxation / Stress Relief,stress,A feeling of worry or pressure when things are difficult.
B1,8th-12th,11,Relaxation / Stress Relief,calm,Quiet and peaceful; not upset or excited.
B1,8th-12th,11,Relaxation / Stress Relief,breathe,To take air into your lungs and let it out.
B1,8th-12th,11,Relaxation / Stress Relief,mindful,Paying careful attention to the present moment.
B1,8th-12th,11,Relaxation / Stress Relief,peaceful,Calm and free from noise or trouble.
B1,8th-12th,11,Relaxation / Stress Relief,unwind,To relax after a busy or stressful time.
B1,8th-12th,11,Relaxation / Stress Relief,rest,To stop working and relax your body and mind.
B1,8th-12th,11,Relaxation / Stress Relief,balance,"A healthy mix of work, rest, and fun."
B1,8th-12th,12,Impact of Music,melody,A series of musical notes that form a tune.
B1,8th-12th,12,Impact of Music,rhythm,The pattern of beats in music.
B1,8th-12th,12,Impact of Music,lyrics,The words of a song.
B1,8th-12th,12,Impact of Music,instrument,"An object used to make music, like a guitar or piano."
B1,8th-12th,12,Impact of Music,concert,A live event where musicians perform for an audience.
B1,8th-12th,12,Impact of Music,emotion,"A strong feeling such as happiness, sadness, or excitement."
B1,8th-12th,12,Impact of Music,influence,The power to change how someone thinks or feels.
B1,8th-12th,12,Impact of Music,harmony,Pleasant musical sounds made by notes played together.
B1,8th-12th,12,Impact of Music,perform,To play music or sing in front of an audience.
B1,8th-12th,13,Behind the Scenes,backstage,The area behind the stage that the audience does not see.
B1,8th-12th,13,Behind the Scenes,director,The person who guides actors and decides how a show is made.
B1,8th-12th,13,Behind the Scenes,producer,A person who organizes and pays for a film or show.
B1,8th-12th,13,Behind the Scenes,rehearsal,Practice before a performance in front of an audience.
B1,8th-12th,13,Behind the Scenes,costume,Special clothes worn by actors in a play or film.
B1,8th-12th,13,Behind the Scenes,spotlight,A bright light that shines on a performer on stage.
B1,8th-12th,13,Behind the Scenes,crew,The team of people who work behind the scenes.
B1,8th-12th,13,Behind the Scenes,stage,The raised area where performers act or sing.
B1,8th-12th,13,Behind the Scenes,filming,The process of recording video for a movie or show.
B1,8th-12th,14,Sports/ Olympics,Olympics,A major international sports competition held every four years.
B1,8th-12th,14,Sports/ Olympics,medal,A metal prize given to winners in a sports competition.
B1,8th-12th,14,Sports/ Olympics,competition,An event where people or teams try to win.
B1,8th-12th,14,Sports/ Olympics,teamwork,When people work together toward the same goal.
B1,8th-12th,14,Sports/ Olympics,athlete,A person who is very good at sports.
B1,8th-12th,14,Sports/ Olympics,champion,The person or team that wins a competition.
B1,8th-12th,14,Sports/ Olympics,endurance,The ability to keep going even when something is hard.
B1,8th-12th,14,Sports/ Olympics,training,Regular practice to improve at a sport or skill.
B1,8th-12th,14,Sports/ Olympics,victory,"Winning a game, race, or other competition."
B1,8th-12th,15,End of Summer,reflect,To think carefully about things that have happened.
B1,8th-12th,15,End of Summer,memory,Something you remember from the past.
B1,8th-12th,15,End of Summer,gratitude,The feeling of being thankful for good things.
B1,8th-12th,15,End of Summer,farewell,Something you say or do when saying goodbye.
B1,8th-12th,15,End of Summer,achievement,Something important and difficult that you have done.
B1,8th-12th,15,End of Summer,growth,The way you have improved or become better over time.
B1,8th-12th,15,End of Summer,celebrate,To do something special to mark a happy event.
B1,8th-12th,15,End of Summer,journey,The experience of traveling or growing over time.
B1,8th-12th,15,End of Summer,summer,The warm season when many students are on break from school.
