CEFR Level,Grade Band,Day Number,Day / Topic,Vocabulary Word,Definition
A1,4th-7th,8,Animals Day,dog,A friendly pet that barks and wags its tail.
A1,4th-7th,8,Animals Day,bird,An animal with wings and feathers that can usually fly.
A1,4th-7th,8,Animals Day,fish,An animal that lives in water and swims.
A1,4th-7th,8,Animals Day,horse,A large animal that people can ride.
A1,4th-7th,8,Animals Day,cow,A farm animal that gives us milk.
A1,4th-7th,8,Animals Day,dolphin,A smart animal that lives in the ocean and jumps in the water.
A1,4th-7th,8,Animals Day,shark,A large fish with sharp teeth that lives in the sea.
A1,4th-7th,8,Animals Day,elephant,A very big gray animal with a long trunk.
A1,4th-7th,9,Sports Day,soccer,A sport played by kicking a ball into a goal.
A1,4th-7th,9,Sports Day,basketball,A sport where players throw a ball through a high hoop.
A1,4th-7th,9,Sports Day,tennis,A sport where two or four people hit a ball over a net with rackets.
A1,4th-7th,9,Sports Day,volleyball,A sport where teams hit a ball over a net.
A1,4th-7th,9,Sports Day,baseball,A sport where players hit a ball with a bat and run to bases.
A1,4th-7th,9,Sports Day,athlete,A person who is very good at sports.
A1,4th-7th,9,Sports Day,team,A group of people who work or play together.
A1,4th-7th,9,Sports Day,play,To take part in a game or sport for fun.
A1,4th-7th,9,Sports Day,win,To do better than others in a game or competition.
A1,4th-7th,10,Water Day,water,"A clear liquid that people, animals, and plants need to live."
A1,4th-7th,10,Water Day,swim,To move through water using your arms and legs.
A1,4th-7th,10,Water Day,ocean,A very large body of salt water.
A1,4th-7th,10,Water Day,river,A long line of water that flows across the land.
A1,4th-7th,10,Water Day,lake,A large area of water surrounded by land.
A1,4th-7th,10,Water Day,beach,Sandy land next to the ocean or a lake.
A1,4th-7th,10,Water Day,wet,Covered with water or another liquid.
A1,4th-7th,10,Water Day,dry,Not wet; without water.
A1,4th-7th,10,Water Day,rain,Water that falls from clouds in the sky.
A1,4th-7th,11,Food Day,apple,A round red or green fruit that grows on trees.
A1,4th-7th,11,Food Day,banana,A long yellow fruit with soft sweet flesh.
A1,4th-7th,11,Food Day,bread,A common food made from flour and baked in an oven.
A1,4th-7th,11,Food Day,cheese,A food made from milk that is often yellow or white.
A1,4th-7th,11,Food Day,salad,"A dish made of mixed vegetables, often with lettuce."
A1,4th-7th,11,Food Day,tomato,A round red fruit often used in salads and sauces.
A1,4th-7th,11,Food Day,chicken,A bird that is also a common food people eat.
A1,4th-7th,11,Food Day,rice,Small white or brown grains that people cook and eat.
A1,4th-7th,11,Food Day,juice,A drink made from fruit or vegetables.
A1,4th-7th,12,Travel Day,passport,An official document you need to travel to another country.
A1,4th-7th,12,Travel Day,luggage,The bags and suitcases you take when you travel.
A1,4th-7th,12,Travel Day,airport,A place where airplanes take off and land.
A1,4th-7th,12,Travel Day,ticket,A paper or electronic pass that lets you travel or enter a place.
A1,4th-7th,12,Travel Day,flight,A trip on an airplane from one place to another.
A1,4th-7th,12,Travel Day,tourist,A person who visits a place for fun or vacation.
A1,4th-7th,12,Travel Day,gate,The place in an airport where you wait to board your plane.
A1,4th-7th,12,Travel Day,map,A drawing that shows where places are.
A1,4th-7th,12,Travel Day,hotel,A place where travelers sleep and stay during a trip.
A1,4th-7th,13,Game Day,game,An activity with rules that people play for fun.
A1,4th-7th,13,Game Day,dice,A small cube with dots used in many board games.
A1,4th-7th,13,Game Day,card,A thick piece of paper used in many games.
A1,4th-7th,13,Game Day,board,A flat surface used for board games.
A1,4th-7th,13,Game Day,turn,Your chance to play or move in a game.
A1,4th-7th,13,Game Day,score,The number of points you have in a game.
A1,4th-7th,13,Game Day,rules,Instructions that tell you how to play a game.
A1,4th-7th,13,Game Day,winner,The person or team that wins a game.
A1,4th-7th,13,Game Day,play,To take part in a game for fun.
A1,4th-7th,14,Weather Day,sunny,When the sun is shining and the sky is bright.
A1,4th-7th,14,Weather Day,rainy,When water falls from the sky.
A1,4th-7th,14,Weather Day,cloudy,When the sky is full of gray or white clouds.
A1,4th-7th,14,Weather Day,windy,When the air moves strongly and blows things around.
A1,4th-7th,14,Weather Day,cold,When the temperature is low and you feel chilly.
A1,4th-7th,14,Weather Day,hot,When the temperature is high and you feel warm.
A1,4th-7th,14,Weather Day,storm,A period of bad weather with strong wind and rain.
A1,4th-7th,14,Weather Day,snow,Soft white ice that falls from the sky in winter.
A1,4th-7th,14,Weather Day,weather,"What the air outside is like — sunny, rainy, cold, etc."
A1,4th-7th,15,Final Day / Celebration,celebrate,To do something special and fun for an important day.
A1,4th-7th,15,Final Day / Celebration,proud,Feeling happy about something good you or someone else did.
A1,4th-7th,15,Final Day / Celebration,memory,"Something you remember from the past, especially a happy time."
A1,4th-7th,15,Final Day / Celebration,friend,A person you like and enjoy spending time with.
A1,4th-7th,15,Final Day / Celebration,sing,To make music with your voice.
A1,4th-7th,15,Final Day / Celebration,dance,To move your body to music.
A1,4th-7th,15,Final Day / Celebration,thank,To tell someone you are grateful for something they did.
A1,4th-7th,15,Final Day / Celebration,summer,"The warmest season of the year, when school is often on break."
A1,4th-7th,15,Final Day / Celebration,goodbye,A word you say when you leave or when something ends.
