CEFR Level,Grade Band,Day Number,Day / Topic,Question,Answer
B1,8th-12th,10,Experiments Day,Write your {blank} before starting the lab.,hypothesis
B1,8th-12th,10,Experiments Day,We {blank} the plants carefully every day.,observe
B1,8th-12th,10,Experiments Day,Change only one {blank} in each trial.,variable
B1,8th-12th,10,Experiments Day,Our {blank} supports the hypothesis.,evidence
B1,8th-12th,10,Experiments Day,The final {blank} explains what we learned.,conclusion
B1,8th-12th,11,Relaxation / Stress Relief,Take a deep {blank} when you feel stressed.,breathe
B1,8th-12th,11,Relaxation / Stress Relief,Yoga helps me {blank} after a busy day.,relax
B1,8th-12th,11,Relaxation / Stress Relief,A quiet room feels very {blank}.,calm
B1,8th-12th,11,Relaxation / Stress Relief,Being {blank} means noticing your thoughts without judging them.,mindful
B1,8th-12th,11,Relaxation / Stress Relief,Good {blank} between school and rest keeps you healthy.,balance
B1,8th-12th,12,Impact of Music,The {blank} of the song stays in my head.,melody
B1,8th-12th,12,Impact of Music,She plays an {blank} in the school band.,instrument
B1,8th-12th,12,Impact of Music,The {blank} tell a story about friendship.,lyrics
B1,8th-12th,12,Impact of Music,Music can {blank} how we feel.,influence
B1,8th-12th,12,Impact of Music,The crowd cheered during the live {blank}.,concert
B1,8th-12th,13,Behind the Scenes,The actors waited {blank} before the show.,backstage
B1,8th-12th,13,Behind the Scenes,The {blank} told the actors where to stand.,director
B1,8th-12th,13,Behind the Scenes,We had a long {blank} before opening night.,rehearsal
B1,8th-12th,13,Behind the Scenes,She wore a colorful {blank} on stage.,costume
B1,8th-12th,13,Behind the Scenes,The {blank} set up lights and sound equipment.,crew
B1,8th-12th,14,Sports/ Olympics,She won a gold {blank} in the race.,medal
B1,8th-12th,14,Sports/ Olympics,Strong {blank} helped the relay team succeed.,teamwork
B1,8th-12th,14,Sports/ Olympics,Every {blank} trains for years to compete.,athlete
B1,8th-12th,14,Sports/ Olympics,Daily {blank} builds speed and strength.,training
B1,8th-12th,14,Sports/ Olympics,The team celebrated their {blank} after the final.,victory
B1,8th-12th,15,End of Summer,"At camp, we {blank} on what we learned.",reflect
B1,8th-12th,15,End of Summer,I feel deep {blank} for my teachers and friends.,gratitude
B1,8th-12th,15,End of Summer,Winning the contest was my proudest {blank}.,achievement
B1,8th-12th,15,End of Summer,We {blank} the last day with music and food.,celebrate
B1,8th-12th,15,End of Summer,We said {blank} to our host families.,farewell
